id	title	expected_path
2025	לוועידת הייסוד של ההסתדרות	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m2025.html
2838	נקדם פני הרעה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m2838.html
2905	מכתבים לרוני	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p14/m2905.html
4395	לרומאן רולאן	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4395.html
4408	לא"י רופין	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4408.html
4461	לק"ס סטניסלאבסקי	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4461.html
4490	אגרת לאנטול פראנס	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4490.html
4527	אגרות לא"פ צ'כוב	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4527.html
4558	אגרות לשלום-עליכם	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4558.html
4576	לפסנתרן דוברובאֶן	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p280/m4576.html
4701	מצוות הלשון	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p8/m4701.html
5202	אל תיעזב הגולה לנפשה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m5202.html
5709	אגרת למועצת מפלגת פועלי ארץ־ישראל	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m5709.html
5792	מכתב לנציב העליון על חוק־הקרקעות	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m5792.html
6308	מכתב למפקד הצבאי הגנרל היינינג	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m6308.html
7726	מכתב גלוי למשרד הברית העולמית של פועלי-ציון	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p75/m7726.html
10909	אגרות	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p393/m10909.html
13230	מכתבים למשוררת צעירה: מכתבי אברהם שלונסקי לצילה שמיר	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p372/m13230.html
24080	כנס הסופרים הבינלאומי, 1962	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24080.html
24081	בין ב.ג. ויזהר: משה שרת ושתיקת הכבשים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24081.html
24082	מכתב לעדה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24082.html
24083	מכתב מארגנטינה	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24083.html
24084	תשובה לדניאל כהנמן	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24084.html
24556	האהבה השורפת (מכתב לחבקין)	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p549/m24556.html
24586	אִגְרוֹת "מֵאֵין-שָׁם": אגרות אחרונות של יהודים מארצות השלטון הנאצי	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p375/m24586.html
24817	מכתב לדוֹד	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p172/m24817.html
24871	מכתבים	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p647/m24871.html
26001	חיי נייר: 1909–1919 – עשר שנות געגוע ומכתבים: יפו־דווינסק־יפו	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p916/m26001.html
26607	הגדודים העבריים: אגרות	/Users/sinairusinek/Documents/GitHub/public_domain_dump/html/p959/m26607.html
